ddd,Player,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Average,L4,L8,StdDev
QB,Matt Hasselbeck,X,X,X,15.4,16.2,X,X,X,X,X,15.3,23.3,7.9,10.1,9,4,X,12.65,7.70,11.60,6.07
QB,Mark Sanchez,X,X,X,X,X,X,X,X,X,5.6,16.8,15.4,X,X,X,X,X,12.60,0.00,12.60,6.10
QB,Johnny Manziel,11.8,15,X,X,X,X,1.6,0.6,13.8,21.6,X,X,X,15.3,11.1,18.2,X,12.11,14.87,16.55,7.01
QB,Matt McGloin,11.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,11.70,0.00,0.00,#DIV/0!
QB,Brandon Weeden,X,7.6,8.3,14.3,8.3,X,X,X,X,X,X,X,X,X,8.8,22.1,X,11.57,15.45,15.45,5.71
QB,Josh Freeman,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,11.4,11.40,11.40,11.40,#DIV/0!
QB,Ryan Mallett,10.5,19.4,12,5,1,X,X,X,X,X,X,X,X,X,X,15,14.1,11.00,14.55,14.55,6.24
QB,Nick Foles,21,10.1,7.9,18.7,5.8,X,6.3,13.3,6.9,7,X,6.3,4.6,X,X,X,X,9.81,0.00,5.97,5.52
QB,A.J. McCarron,X,X,X,X,X,X,X,X,X,X,X,0.1,0.8,18,11.9,13.1,14.6,9.75,14.40,9.75,7.49
QB,Case Keenum,X,X,X,X,X,X,X,X,X,X,7.4,X,X,4.2,17.1,8.5,9.4,9.32,9.80,9.32,4.77
QB,Jimmy Clausen,X,3.3,3.8,X,X,X,X,X,X,X,X,X,X,9.8,20.2,X,X,9.28,15.00,15.00,7.86
QB,Matt Cassel,X,X,X,X,X,X,10.5,8.2,24.7,6.6,X,10.6,8.6,4.2,0.5,X,X,9.24,2.35,6.10,7.10
QB,Colt McCoy,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,8.8,8.80,8.80,8.80,#DIV/0!
QB,Zach Mettenberger,X,X,X,X,X,2.9,9.5,4.8,X,X,X,X,X,X,16.2,11.4,6.9,8.62,11.50,11.50,4.82
QB,Austin Davis,X,X,X,X,X,X,X,X,X,X,X,7.8,7.6,X,X,X,8.8,8.07,8.80,8.07,0.64
QB,Alex Tanney,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,8,8.00,8.00,8.00,#DIV/0!
QB,Michael Vick,X,X,1.3,12.3,13.5,4.9,X,X,X,X,X,X,X,X,X,X,X,8.00,0.00,0.00,5.87
QB,Luke McCown,X,X,14.4,X,X,X,1,X,X,X,X,X,X,X,X,X,X,7.70,0.00,0.00,9.48
QB,Landry Jones,X,X,X,X,X,14.6,9.2,X,3.2,0.9,X,X,X,X,X,X,X,6.98,0.00,0.90,6.17
QB,Ryan Nassib,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.7,X,6.70,6.70,6.70,#DIV/0!
QB,Kellen Clemens,X,X,6.5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.50,0.00,0.00,#DIV/0!
QB,Ryan Griffin,2.8,X,X,X,X,X,X,X,X,6.6,2.6,17.2,11.9,3,5,2.3,5.7,6.34,4.00,6.79,5.06
QB,Ryan Lindley,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.3,6.30,6.30,6.30,#DIV/0!
QB,T.J. Yates,X,X,X,X,X,X,X,X,X,6.6,15.7,X,X,0.2,2.4,X,X,6.23,1.30,6.23,6.85
QB,Dan Orlovsky,X,X,X,X,10.6,X,X,0.4,X,X,X,X,X,X,X,X,X,5.50,0.00,0.00,7.21
QB,Charlie Whitehurst,X,X,X,X,X,X,X,X,X,X,X,X,2,X,0.5,3,X,1.83,1.75,1.83,1.26
QB,Sean Mannion,X,X,X,X,X,X,X,X,X,X,X,1.2,X,X,X,X,X,1.20,0.00,1.20,#DIV/0!
QB,Drew Stanton,X,X,X,X,0.1,X,X,X,X,X,X,X,X,X,X,X,1.4,0.75,1.40,1.40,0.92
QB,Derek Anderson,X,X,X,X,X,X,X,X,X,X,0.2,X,X,1.2,X,X,X,0.70,1.20,0.70,0.71
QB,Tarvaris Jackson,X,X,X,X,X,X,X,X,X,X,X,X,X,0.1,X,X,0.9,0.50,0.50,0.50,0.57
QB,Shaun Hill,X,X,X,X,X,X,X,X,0.5,X,X,X,X,X,X,X,X,0.50,0.00,0.00,#DIV/0!
QB,Matt Moore,X,X,X,X,X,X,0.4,X,X,X,X,X,X,X,X,X,X,0.40,0.00,0.00,#DIV/0!
QB,Scott Tolzien,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.2,X,0.20,0.20,0.20,#DIV/0!
QB,Jimmy Garoppolo,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.2,0.20,0.20,0.20,#DIV/0!
QB,Chase Daniel,X,X,X,X,X,X,X,0.2,X,X,X,X,X,X,X,X,X,0.20,0.00,0.00,#DIV/0!
RB,Devonta Freeman,7.7,15.9,45.3,37.9,35.7,38.6,18,19.1,21.9,X,4.3,X,20.3,8.2,23.1,18,16.4,22.03,16.43,15.05,12.19
RB,Jamaal Charles,21.3,23.7,31.2,20.5,9.4,X,X,X,X,X,X,X,X,X,X,X,X,21.22,0.00,0.00,7.84
RB,Le'Veon Bell,X,X,26.2,31,25.7,8.8,20.7,7.8,X,X,X,X,X,X,X,X,X,20.03,0.00,0.00,9.66
RB,Arian Foster,X,X,X,5.5,20.8,22.2,29.5,X,X,X,X,X,X,X,X,X,X,19.50,0.00,0.00,10.08
RB,Adrian Peterson,8.2,23.2,27.6,19.4,X,6.7,14,15.9,25.3,32.6,13.1,35.7,6.4,14.6,6.3,21.9,13.8,17.79,14.15,18.05,9.25
RB,Dion Lewis,16,24.8,17.7,X,23.3,6.9,X,23.2,9.3,X,X,X,X,X,X,X,X,17.31,0.00,0.00,7.08
RB,Mark Ingram,20.2,13.8,20.9,18.8,9.4,20.6,25.8,15.9,13.6,12.8,X,15.7,19.9,X,X,X,X,17.28,0.00,16.13,4.54
RB,Todd Gurley,X,X,2.4,21.1,18.9,X,35.3,26.6,19.9,17.9,11.6,4,4.1,30.7,15.9,16.2,X,17.28,20.93,14.34,10.10
RB,Matt Forte,30.6,14.5,7.4,18.5,21.9,19.9,X,10.9,X,X,X,6.3,23.3,12.3,22.4,10.7,20,16.82,16.35,15.83,7.12
RB,DeAngelo Williams,17.2,31.2,0.2,0.5,2,X,2.7,15,41.5,7.9,X,24.7,23.5,23.1,16.6,36.3,4.1,16.43,20.03,19.46,13.48
RB,LeSean McCoy,11.7,14.6,9.6,X,X,17.4,13.4,X,22.9,23.9,24.3,18.1,14.2,14.9,4.7,X,X,15.81,9.80,16.68,5.92
RB,Doug Martin,6.4,10.8,4.6,28.3,39.8,X,23.1,8.8,5.3,14.3,26.5,10.8,16,15.6,10.7,10.5,17.8,15.58,13.65,15.28,9.60
RB,Danny Woodhead,21.2,16.4,7.3,17.8,12.6,12.1,33.1,6.5,23.1,X,2.6,10.7,6.4,4.3,36,18.8,14.2,15.19,18.33,13.29,9.67
RB,Tim Hightower,X,X,X,X,X,X,X,X,X,4.6,X,X,0.2,16.5,11.5,34.9,21.7,14.90,21.15,14.90,12.51
RB,Chris Ivory,23,8,X,25.6,X,31.6,13.3,7.1,19.8,14.5,5.5,18.2,10.9,14.7,5.2,8.2,8.1,14.25,9.05,10.66,7.97
